index,neg,neu,pos,compound
164,0.094,0.812,0.094,0.0
165,0.085,0.915,0.0,-0.5574
166,0.0,0.743,0.257,0.7845
167,0.129,0.745,0.126,-0.0516
168,0.0,1.0,0.0,0.0
169,0.066,0.851,0.083,-0.0516
170,0.0,1.0,0.0,0.0
171,0.092,0.908,0.0,-0.6671
172,0.154,0.709,0.137,-0.1779
173,0.194,0.806,0.0,-0.8002
174,0.254,0.665,0.081,-0.8617
175,0.297,0.703,0.0,-0.9509
176,0.195,0.762,0.043,-0.6808
177,0.04,0.854,0.106,0.4939
178,0.271,0.687,0.041,-0.9438
179,0.294,0.706,0.0,-0.3612
180,0.041,0.868,0.091,0.5106
181,0.787,0.213,0.0,-0.5709
182,0.169,0.831,0.0,-0.6901
183,0.145,0.855,0.0,-0.5994
184,0.0,1.0,0.0,0.0
185,0.0,0.967,0.033,0.1134
186,0.195,0.608,0.197,-0.2263
187,0.0,1.0,0.0,0.0
188,0.246,0.569,0.185,-0.4019
189,0.0,1.0,0.0,0.0
190,0.099,0.667,0.233,0.7372
191,0.142,0.858,0.0,-0.8074
192,0.107,0.742,0.151,-0.128
193,0.254,0.54,0.206,-0.6635
194,0.0,0.771,0.229,0.8074
195,0.0,1.0,0.0,0.0
196,0.0,0.884,0.116,0.6597
197,0.0,0.919,0.081,0.5023
198,0.086,0.831,0.083,-0.0258
199,0.1,0.856,0.044,-0.5423
200,0.182,0.818,0.0,-0.7783
201,0.0,0.705,0.295,0.9442
202,0.148,0.714,0.138,-0.1449
203,0.185,0.815,0.0,-0.5823
204,0.0,0.937,0.063,0.4724
205,0.223,0.681,0.096,-0.8074
206,0.145,0.855,0.0,-0.296
207,0.15,0.85,0.0,-0.3182
208,0.267,0.733,0.0,-0.9081
209,0.08,0.92,0.0,-0.5423
210,0.081,0.879,0.04,-0.3506
211,0.376,0.624,0.0,-0.9708
212,0.198,0.575,0.228,0.212
213,0.046,0.914,0.04,-0.0686
214,0.11,0.89,0.0,-0.5709
215,0.349,0.651,0.0,-0.8934
216,0.276,0.655,0.068,-0.807
217,0.308,0.601,0.092,-0.8057
218,0.124,0.767,0.108,0.1154
219,0.296,0.704,0.0,-0.9161
220,0.0,0.729,0.271,0.9274
221,0.094,0.718,0.188,0.7003
222,0.124,0.578,0.298,0.7906
223,0.0,1.0,0.0,0.0
224,0.085,0.773,0.142,0.4359
225,0.0,0.914,0.086,0.508
226,0.32,0.624,0.056,-0.9226
227,0.196,0.526,0.277,0.6486
228,0.0,0.724,0.276,0.8832
229,0.347,0.523,0.131,-0.9225
230,0.372,0.551,0.077,-0.9601
